absins	absence
abstrakt	abstract
absulút	absolute
absulútlé	absolutely
ad.	ad
ad	add
adid	added
adikúit	adequate
administør	administer
administrášin	administration
administrátør	administrator
administritiv	administrative
admišin	admission
admit	admit
admír	admire
adres	address
adulesint	adolescent
advans	advance
advanst	advanced
advantij	advantage
advencør	adventure
advís	advice
advíz	advise
advízør	adviser
advørtízing	advertising
advukát	advocate
advukit	advocate
afekt	affect
Afrikin-Umerikin	African-American
Afrikin	African
aftør	after
aftørnún	afternoon
aftørúørd	afterward
agrikulcør	agriculture
agrikulcørul	agricultural
akéørisé	accuracy
akéørit	accurate
akéøritlé	accurately
akéøzášin	accusation
akidemik	academic
aknolij	acknowledge
aksent	accent
aksept	accept
akseptibul	acceptable
akses	access
aksesibul	accessible
aksidint	accident
akšin	action
akšúulé	actually
akšúul	actual
akt	act
aktiv	active
aktivist	activist
aktivité	activity
aktivlé	actively
aktør	actor
aktris	actress
akúizišin	acquisition
album	album
alé	alley
aligášin	allegation
alí	ally
alkuhol	alcohol
ambasidør	ambassador
ambišin	ambition
ambišis	ambitious
and	and
anéúulé	annually
anéúul	annual
animul	animal
anivørsøré	anniversary
ankul	ankle
ansestør	ancestor
ansør	answer
antisipát	anticipate
anulist	analyst
anulíz	analyze
aplikášin	application
apul	apple
aset	asset
asf.	etc
as	ass
asid	acid
ask	ask
aspekt	aspect
asthetik	aesthetic
aš	ash
at	at
atitúd	attitude
atmusfér	atmosphere
atribéút	attribute
athletik	athletic
athlét	athlete
aúr	our
aúr	hour
aúrselvz	ourselves
aúrz	ours
aútdór	outdoor
aútfit	outfit
aút	out
aútkum	outcome
aútlit	outlet
aútlín	outline
aútør	outer
aútpøt	output
aútsíd	outside
aútsídør	outsider
aútstanding	outstanding
avrij	average
az	as
ábul	able
ád	aide
ád	aid
áj	age
ájinsé	agency
ájint	agent
áléin	alien
ám	aim
ángør	anger
ángré	angry
ángul	angle
ánjul	angel
ánšint	ancient
ár	air
árkraft	aircraft
árlín	airline
árplán	airplane
árpórt	airport
át	eight
átth	eighth
Ážin	Asian
bad	bad
badlé	badly
bag	bag
bakéord	backyard
bak	back
bakgraúnd	background
baktéréu	bacteria
balins	balance
balinst	balanced
balit	ballot
band	band
ban	ban
bank	bank
banking	banking
bankør	banker
bankrupsé	bankruptcy
baskitbol	basketball
baskit	basket
bat	bat
batøré	battery
batul	battle
bath	bath
bathrúm	bathroom
baú	bow
baúndré	boundary
baúns	bounce
bábé	baby
bá	bay
bák	bake
báré	bury
báréør	barrier
bár	bare
bár	bear
bárlé	barely
bárul	barrel
básbol	baseball
bás	base
básik	basic
básiklé	basically
básis	basis
básmint	basement
bedrúm	bedroom
beg	beg
belé	belly
bel	bell
belt	belt
benc	bench
bend	bend
benifit	benefit
best	best
bet	bet
betør	better
béc	beach
bé	bee
bé	be
béf	beef
béing	being
bém	beam
bén	bean
béond	beyond
béøró	bureau
bérd	beard
bér	beer
bést	beast
bét	beat
béúté	beauty
béútiful	beautiful
bid	bed
bid	bid
bifór	before
big	big
bigin	begin
bigining	beginning
bikum	become
bikuz	because
bild	build
bilding	building
bildør	builder
biléf	belief
biléin	billion
bilév	believe
bil	bill
bilong	belong
biló	below
binéth	beneath
bisíd	beside
bisídz	besides
bit	bit
bitør	bitter
bitúén	between
bizé	busy
biznis	business
biznismin	businessman
bihaf	behalf
bihávéórul	behavioral
bihávéør	behavior
biháv	behave
bihínd	behind
Bíbul	Bible
bí	buy
bí	by
bíis	bias
bík	bike
bínd	bind
bíogrifé	biography
bíolijé	biology
bíør	buyer
bísikul	bicycle
bít	bite
bíulojikul	biological
blak	black
blast	blast
blád	blade
blám	blame
blánk	blank
blánkit	blanket
blend	blend
bles	bless
blesing	blessing
blink	blink
blínd	blind
blok	block
blond	blond
bló	blow
bludé	bloody
blud	blood
blú	blue
bodé	body
bodhør	bother
boks	box
bol	ball
bom	bomb
boming	bombing
bond	bond
bor	bar
born	barn
boró	borrow
bos	boss
botul	bottle
botum	bottom
bói	boy
bóifrend	boyfriend
bóil	boil
bóld	bold
ból	bowl
bólt	bolt
bón	bone
bónis	bonus
bórd	board
bórdør	border
bóring	boring
bórn	born
bóst	boast
bót	boat
bóth	both
bøk	book
børd	bird
børdin	burden
børn	burn
børning	burning
børst	burst
børthdá	birthday
børth	birth
bøš	bush
branc	branch
brand	brand
braún	brown
brák	brake
brák	break
brán	brain
bráv	brave
brekfist	breakfast
brest	breast
breth	breath
brédh	breathe
brédhing	breathing
bréf	brief
bréflé	briefly
bréz	breeze
brid	bread
brij	bridge
brik	brick
briléint	brilliant
bring	bring
Britiš	British
bríd	bride
brít	bright
brod	broad
brodkast	broadcast
bronz	bronze
brókin	broken
brókør	broker
brudhør	brother
bruš	brush
brútul	brutal
bubul	bubble
budé	buddy
bug	bug
bujit	budget
buk	buck
bukit	bucket
bulb	bulb
bul	bull
bulit	bullet
bulk	bulk
bulún	balloon
bunanu	banana
bunc	bunch
bus	bus
but	but
but	butt
butøn	button
butør	butter
butørflí	butterfly
búm	boom
búst	boost
bút	boot
búth	booth
calinj	challenge
campéin	champion
campéinšip	championship
cans	chance
canul	channel
captør	chapter
cámbør	chamber
cán	chain
cánj	change
cánjing	changing
cás	chase
cek	check
CEO	CEO
cer	chair
cerité	charity
cermin	chairman
cest	chest
céf	chief
cék	cheek
cép	cheap
cér	cheer
cét	cheat
céz	cheese
cikin	chicken
cil	chill
cin	chin
cip	chip
cíld	child
